BOROUGH,rate_2021,rate_2024,improvement_pct
Manhattan,22.09,16.39,5.71
Brooklyn,22.68,23.55,-0.87
Bronx,18.16,20.9,-2.74
Queens,15.64,18.85,-3.21
Staten Island,2.33,8.91,-6.58
